 : 25
government : 18
countrymen : 15
technology : 15
time : 13
trees : 12
rio : 10
entire : 10
rupees : 9
world : 8
innovation : 8
lives : 8
research : 7
taken : 7
life : 7
aware : 7
tree : 7
plant : 7
sonal : 7
saplings : 7
nation : 7
opportunity : 6
young : 6
good : 6
children : 6
generation : 6
incubation : 6
centres : 6
certain : 6
antibiotic : 6
great : 6
van : 6
independence : 6
sports : 5
sportspersons : 5
prime : 5
minister : 5
wishes : 5
today : 5
abdul : 5
kalamji : 5
atal : 5
lakh : 5
think : 5
doctor : 5
red : 5
pregnant : 5
women : 5
lakhs : 5
marriage : 5
remember : 5
crores : 5
south : 5
africa : 5
gandhi : 5
mandela : 5
station : 5
something : 5
railway : 5
festival : 5
believe : 4
spirit : 4
going : 4
billion : 4
send : 4
feel : 4
mention : 4
fact : 4
future : 4
mission : 4
create : 4
talk : 4
problems : 4
solutions : 4
taking : 4
dengue : 4
homes : 4
bacteria : 4
campaign : 4
free : 4
means : 4
anushasan : 4
parv : 4
ideals : 4
society : 4
shriman : 4
devotees : 4
planting : 4
timber : 4
visit : 4
mahatma : 4
nelson : 4
equality : 4
pradhan : 4
fraud : 4
gift : 4
brought : 4
aligarh : 4
raksha : 4
bandhan : 4
bima : 4
yojna : 4
quit : 4
fort : 4
thoughts : 4
event : 3
close : 3
contingent : 3
duty : 3
wherever : 3
leave : 3
important : 3
indians : 3
join : 3
best : 3
convey : 3
app : 3
possible : 3
proud : 3
suraj : 3
central : 3
sent : 3
write : 3
festivities : 3
grand : 3
gold : 3
ahead : 3
tricolour : 3
pride : 3
indeed : 3
true : 3
move : 3
aim : 3
tinkering : 3
labs : 3
period : 3
innovations : 3
bring : 3
look : 3
thousand : 3
real : 3
face : 3
greater : 3
concerned : 3
hand : 3
rains : 3
state : 3
relief : 3
heart : 3
alert : 3
pay : 3
attention : 3
doctors : 3
course : 3
urge : 3
antibiotics : 3
use : 3
medicine : 3
mothers : 3
mother : 3
sisters : 3
shri : 3
gita : 3
present : 3
daughter : 3
mhatre : 3
friends : 3
sapling : 3
picture : 3
instead : 3
love : 3
way : 3
gujarat : 3
ambaji : 3
decided : 3
season : 3
movement : 3
source : 3
pledge : 3
rajasthan : 3
mahotsav : 3
security : 3
home : 3
meet : 3
equal : 3
shilpi : 3
varma : 3
mantri : 3
lady : 3
experience : 3
occasion : 3
morning : 2
spend : 2
delhi : 2
biggest : 2
place : 2
expectations : 2
keeping : 2
high : 2
play : 2
live : 2
sportsperson : 2
hard : 2
dedicated : 2
kinds : 2
food : 2
field : 2
players : 2
sake : 2
takes : 2
level : 2
therefore : 2
hands : 2
ready : 2
behalf : 2
reward : 2
speak : 2
name : 2
student : 2
poem : 2
written : 2
share : 2
amidst : 2
commence : 2
note : 2
rain : 2
silver : 2
bronze : 2
set : 2
flutter : 2
joy : 2
ankit : 2
observed : 2
science : 2
ensure : 2
form : 2
still : 2
water : 2
innovate : 2
niti : 2
develop : 2
schools : 2
given : 2
similarly : 2
connected : 2
system : 2
efforts : 2
essential : 2
necessary : 2
crore : 2
challenges : 2
path : 2
specially : 2
find : 2
tribute : 2
difficulties : 2
task : 2
significance : 2
st : 2
enjoying : 2
utmost : 2
causing : 2
agriculture : 2
economic : 2
activities : 2
illness : 2
case : 2
safe : 2
special : 2
care : 2
diseases : 2
poor : 2
family : 2
matter : 2
random : 2
land : 2
advice : 2
gives : 2
cut : 2
complications : 2
although : 2
drug : 2
loses : 2
battle : 2
anew : 2
medicines : 2
tablets : 2
treatment : 2
halfway : 2
benefit : 2
getting : 2
spreading : 2
resistance : 2
seen : 2
health : 2
die : 2
sometimes : 2
save : 2
pregnancy : 2
complication : 2
launched : 2
reach : 2
offer : 2
privileged : 2
whole : 2
importance : 2
bhagwan : 2
krishna : 2
concern : 2
proclaimed : 2
shukracharya : 2
meaning : 2
mahabharta : 2
offspring : 2
becomes : 2
salvation : 2
pune : 2
farmer : 2
married : 2
inspiring : 2
manner : 2
mango : 2
social : 2
really : 2
nature : 2
congratulate : 2
done : 2
temple : 2
visited : 2
foot : 2
prasad : 2
villages : 2
traveling : 2
temples : 2
start : 2
rainy : 2
easily : 2
fields : 2
abroad : 2
construction : 2
furniture : 2
states : 2
started : 2
maharashtra : 2
transformed : 2
soil : 2
green : 2
tradition : 2
faces : 2
fortune : 2
transformation : 2
shoulder : 2
meeting : 2
lived : 2
strength : 2
thing : 2
compassion : 2
fraternity : 2
different : 2
received : 2
message : 2
incident : 2
news : 2
cheat : 2
opinion : 2
emails : 2
amount : 2
gentlemen : 2
sms : 2
bank : 2
account : 2
letter : 2
card : 2
notice : 2
seriously : 2
parliament : 2
session : 2
pleasant : 2
enthusiasm : 2
vertical : 2
garden : 2
stations : 2
citizens : 2
onset : 2
suraksha : 2
jeevan : 2
jyoti : 2
born : 2
august : 2
sacrificed : 2
freedom : 2
atmosphere : 2
narendra : 2
modi : 2
ramparts : 2
wish : 2
invite : 2
namaskar : 1
early : 1
fervor : 1
envelop : 1
person : 1
largest : 1
carnival : 1
resound : 1
ears : 1
play… : 1
watch : 1
performance : 1
harbour : 1
hopes : 1
morale : 1
solemn : 1
organised : 1
run : 1
blossom : 1
bit : 1
encourage : 1
makes : 1
stage : 1
putting : 1
work : 1
kind : 1
severe : 1
tapasya : 1
cherishes : 1
sacrifice : 1
snuggle : 1
warmth : 1
harsh : 1
winter : 1
track : 1
happens : 1
stone : 1
unturned : 1
overnight : 1
long : 1
sustained : 1
perseverance : 1
attain : 1
stature : 1
victory : 1
defeat : 1
certainly : 1
reaching : 1
game : 1
discipline : 1
wishing : 1
postman : 1
narendramodi : 1
citizen : 1
encouraging : 1
cheering : 1
fullest : 1
extent : 1
endeavours : 1
exertions : 1
olympics : 1
poetry : 1
lover : 1
prakash : 1
upadhyay : 1
punjab : 1
university : 1
poets : 1
poems : 1
planning : 1
compose : 1
verses : 1
songs : 1
languages : 1
games : 1
bugle : 1
sounded : 1
competitions : 1
mega : 1
sporting : 1
odyssey : 1
melodious : 1
chimes : 1
turn : 1
amply : 1
prepared : 1
sight : 1
straight : 1
loss : 1
deject : 1
hero : 1
hearts : 1
heartbeat : 1
sport : 1
records : 1
dedicate : 1
sentiments : 1
extend : 1
warmest : 1
heartiest : 1
side : 1
flutters : 1
skies : 1
