 : 54
cleanliness : 17
countrymen : 11
january : 11
youth : 11
service : 10
resolve : 9
positive : 9
women : 9
world : 8
life : 8
special : 8
century : 8
way : 7
celebrated : 7
great : 7
festivals : 7
mann : 6
baat : 6
path : 6
voters : 6
movement : 6
progress : 6
survey : 6
cities : 6
city : 6
haj : 6
shared : 5
spirit : 5
drive : 5
system : 5
guru : 5
time : 5
today : 5
young : 5
enthusiasm : 5
forward : 5
name : 5
different : 5
bapu : 5
efforts : 5
muslim : 5
energy : 4
festival : 4
christmas : 4
gobind : 4
singh : 4
vote : 4
strength : 4
right : 4
dreams : 4
place : 4
build : 4
mass : 4
positivity : 4
episode : 4
level : 4
kashmir : 4
devotees : 4
habit : 4
public : 4
garbage : 4
matter : 4
asean : 4
nature : 4
change : 3
share : 3
teachings : 3
tradition : 3
human : 3
values : 3
done : 3
men : 3
full : 3
inspiring : 3
opportunity : 3
participate : 3
birth : 3
anniversary : 3
surprised : 3
indian : 3
nation : 3
lives : 3
wish : 3
dream : 3
talk : 3
free : 3
terrorism : 3
equal : 3
move : 3
taking : 3
district : 3
freedom : 3
strong : 3
opportunities : 3
created : 3
coming : 3
areas : 3
glad : 3
large : 3
achievements : 3
easily : 3
government : 3
taken : 3
building : 3
steps : 3
anjum : 3
whole : 3
sabrimala : 3
temple : 3
participation : 3
programme : 3
poonkavanam : 3
campaign : 3
devotee : 3
clean : 3
revered : 3
direction : 3
population : 3
ranking : 3
perform : 3
edition : 2
thoughts : 2
entire : 2
exchange : 2
minds : 2
experiences : 2
fervor : 2
occasion : 2
sewa : 2
essence : 2
immense : 2
attached : 2
religion : 2
caste : 2
highest : 2
refer : 2
land : 2
… : 2
seva : 2
living : 2
beings : 2
reminded : 2
live : 2
sacrifice : 2
source : 2
inspiration : 2
virtues : 2
task : 2
fought : 2
injustice : 2
endeavour : 2
personal : 2
peace : 2
filled : 2
greatest : 2
organized : 2
comes : 2
really : 2
born : 2
begin : 2
democracy : 2
welcome : 2
power : 2
effective : 2
bringing : 2
millions : 2
aspirations : 2
skill : 2
filth : 2
everyone : 2
wishes : 2
deliberate : 2
formed : 2
decide : 2
mock : 2
parliament : 2
find : 2
ways : 2
plans : 2
transformed : 2
making : 2
development : 2
delhi : 2
achieving : 2
success : 2
talked : 2
previous : 2
man : 2
nothing : 2
zeal : 2
optimism : 2
atmosphere : 2
gave : 2
responses : 2
app : 2
tweets : 2
experience : 2
impact : 2
daughter : 2
wanted : 2
continue : 2
gather : 2
national : 2
constructed : 2
mohalla : 2
soldiers : 2
mention : 2
terrorists : 2
pipeline : 2
little : 2
journey : 2
story : 2
administrative : 2
examination : 2
ancestral : 2
violence : 2
hope : 2
adverse : 2
jammu : 2
despair : 2
chance : 2
daughters : 2
various : 2
famous : 2
religious : 2
kerala : 2
lord : 2
huge : 2
challenge : 2
maintaining : 2
especially : 2
remain : 2
physical : 2
labour : 2
small : 2
part : 2
worship : 2
contributes : 2
punyan : 2
contribution : 2
observed : 2
urban : 2
conducted : 2
collection : 2
using : 2
maintain : 2
alone : 2
citizen : 2
ensure : 2
behind : 2
sure : 2
basis : 2
lakh : 2
best : 2
pilgrimage : 2
male : 2
guardian : 2
travel : 2
possible : 2
seventy : 2
countries : 2
practice : 2
ministry : 2
minority : 2
affairs : 2
mahram : 2
applied : 2
usually : 2
lottery : 2
pilgrims : 2
republic : 2
leaders : 2
ten : 2
chief : 2
guests : 2
completed : 2
thank : 2
namaskar : 1
coincidence : 1
happens : 1
ideas : 1
steady : 1
stream : 1
letters : 1
comments : 1
always : 1
infuses : 1
hours : 1
sequence : 1
conversation : 1
renew : 1
newer : 1
topics : 1
heartiest : 1
greetings : 1
gaiety : 1
warmth : 1
cheer : 1
pious : 1
reminds : 1
jesus : 1
christ : 1
laid : 1
emphasis : 1
bhaav : 1
felt : 1
bible : 1
conveys : 1
significance : 1
sanctity : 1
creed : 1
colour : 1
invaluable : 1
hallmark : 1
nishkaam : 1
karma : 1
selfless : 1
deeds : 1
meaning : 1
expectations : 1
mentioned : 1
parmo : 1
dharmah : 1
noblest : 1
jeev : 1
hi : 1
shiv : 1
god : 1
gurudev : 1
ramkrishna : 1
paramhans : 1
cite : 1
serve : 1
worshipping : 1
almighty : 1
inference : 1
common : 1
remember : 1
ideals : 1
holy : 1
occasions : 1
infuse : 1
awakening : 1
value : 1
abiding : 1
prakash : 1
parv : 1
illustrious : 1
instances : 1
courage : 1
preached : 1
sublime : 1
practiced : 1
letter : 1
poet : 1
philosopher : 1
warrior : 1
roles : 1
performed : 1
oppression : 1
focused : 1
breaking : 1
cordons : 1
stood : 1
lose : 1
front : 1
antagonism : 1
raise : 1
ugly : 1
head : 1
moment : 1
message : 1
love : 1
palpable : 1
personality : 1
brim : 1
fortunate : 1
beginning : 1
celebration : 1
patna : 1
sahib : 1
imbibe : 1
abide : 1
lessons : 1
exemplary : 1
mould : 1
accordance : 1
ie : 1
tomorrow : 1
view : 1
arrives : 1
mean : 1
gradually : 1
eligible : 1
welcomes : 1
congratulate : 1
urge : 1
register : 1
eager : 1
feeling : 1
proud : 1
prove : 1
bedrock : 1
tool : 1
acquiring : 1
determining : 1
deciding : 1
course : 1
makers : 1
specially : 1
speak : 1
successful : 1
infused : 1
consider : 1
stands : 1
firmly : 1
believe : 1
realized : 1
fortitude : 1
energetic : 1
poison : 1
casteism : 1
communalism : 1
corruption : 1
poverty : 1
fulfilled : 1
unity : 1
amity : 1
guiding : 1
force : 1
connecting : 1
caravan : 1
going : 1
thus : 1
ahead : 1
idea : 1
organize : 1
sit : 1
together : 1
brain : 1
storm : 1
chalk : 1
realize : 1
resolves : 1
fighters : 1
mahatma : 1
gandhi : 1
friends : 1
magnificent : 1
glorious : 1
capable : 1
propose : 1
august : 1
comprising : 1
representatives : 1
selected : 1
reality : 1
innovation : 1
entrepreneurship : 1
information : 1
details : 1
person : 1
turning : 1
automatically : 1
benefit : 1
sanskrit : 1
shloka : 1
means : 1
powerful : 1
zest : 1
impossible : 1
english : 1
pessimism : 1
leads : 1
weakness : 1
appealed : 1
moments : 1
social : 1
media : 1
platform : 1
mygov : 1
narendra : 1
modi : 1
lakhs : 1
posted : 1
hashtag : 1
reached : 1
nearly : 1
crore : 1
wave : 1
emanated : 1
spread : 1
received : 1
indeed : 1
delightful : 1
incidents : 1
left : 1
sound : 1
bite : 1
